accX,accY,accZ,gyroX,gyroY,gyroZ
-0.134075299,-0.0047884034,10.34654236,0.0127831735,-0.023435818,-0.0191747602
0.14844051,9.734824181,2.120065689,0.377103627,-0.035153728,0.566720665
1.029506683,9.825803757,1.205480576,1.189900398,-0.0202400237,0.22370553
0.799663365,10.43393135,0.247799873,0.011717909,-0.302535117,-0.22370553
0.507570744,10.34774017,0.774524271,-0.470846891,-0.0980043262,-0.274838239
0.292092621,9.859322548,1.023521185,-0.231162384,-0.0191747602,-0.0916127414
0.0909796655,9.481039047,0.903811157,-0.0713727176,-0.0777643025,-0.113983296
0.119710088,10.35252857,0.587776542,0.241815031,0.194943398,-0.318514079
-0.138863698,10.11789608,0.879869103,0.108656973,-0.00319579337,0.0553937517
-0.134075299,9.758766174,0.539892495,-0.0298274048,-0.131027535,0.13635385
0.114921682,10.0269165,0.678756177,-0.0735032484,0.10546118,-0.0468716361
-0.158017308,10.42435455,0.654814184,0.0553937517,-0.0745685101,-0.143810704
-0.14844051,9.758766174,0.736217022,-0.011717909,0.0692421868,-0.0649811327
-0.162805721,0.0478840321,0.563834488,-0.0713727176,-1.130245566,0.524110138
-0.18674773,0.0191536136,0.578199685,0.00106526446,-1.119592905,0.517718554
-0.158017308,0.0766144544,0.573411286,0.0202400237,-1.108940244,0.525175393
-0.134075299,0.0766144544,0.549469292,0.113983296,-1.075917125,0.507065892
-0.656011283,0.426167905,0.501585245,1.659682035,-0.520914316,-2.638659954
-1.613691926,2.705447912,0.55904609,3.753991842,1.518001795,-0.308926702
-1.70946002,2.777273893,0.578199685,6.489591122,4.789429188,1.205879331
-1.086967587,0.220266551,-10.39203262,0.0362189934,0.37284255,-0.00106526446
0.0957680643,0.311246216,-9.008183479,0.0095873801,-0.0202400237,-0.00426105782
0.119710088,0.383072257,-8.979453087,0.0138484379,-0.0223705545,-0.0181094967
0.14844051,0.234631762,-9.252392769,0.0181094967,-0.0106526446,-0.00106526446
0.0861912593,0.258573771,-9.194931984,0.0149137024,-0.0159789659,-0.00213052891
0.153228909,0.225054964,-9.228450775,0.0127831735,-0.0266316123,-0.0191747602
0.143652096,0.258573771,-9.238027573,0.0159789659,-0.0149137024,-0.00213052891
0.134075299,0.253785372,-9.218873978,0.0159789659,-0.0330231972,-0.00319579337
0.138863698,0.263362199,-9.242815971,0.00852211565,-0.0159789659,-0.011717909
0.138863698,0.268150598,-9.242815971,0.0191747602,-0.0202400237,-0.00852211565
